     clase            sexo            edad       superviviente
    primera          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    segunda          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
    tercera          hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
  tripulación        hombre          adulto            no
